Timestamp, Q1.  What is your age group?  ,Q2.  What is your approximate monthly income (in Naira)? ,Q3.  What is your current employment status? ,Q4.  How would you describe the consistency of your income? ,Q1.  I trust that Cowrywise will keep my money safe. ,Q2.  I am confident that Cowrywise has adequate security measures to protect my personal data. ,Q3.  The fact that Cowrywise is regulated by the SEC increases my confidence in the platform. ,Q4.  I trust Cowrywise more than traditional informal savings methods like Ajo/Esusu. ,Q5.  Past negative news about Nigerian fintech companies makes me hesitant to fully trust Cowrywise. ,Q1.  How would you rate your overall financial knowledge? ,"Q2.  Before using Cowrywise, did you understand how interest on digital savings works?",Q3.   How did your level of financial knowledge influence your decision to use Cowrywise?   ,"Q4.  In your view, what would most improve your confidence in using digital savings platforms like Cowrywise? ",Q1.  How did you first hear about Cowrywise? ,"Q2.  Did seeing others save on Cowrywise (friends, family, or social media) influence your decision to join? ",Q3. Financial influencers on social media made digital savings feel more trustworthy and accessible to me.   ,Q4.  Positive reviews and testimonials online increased my confidence in using Cowrywise. ,Q1.  The Cowrywise app is easy to navigate and use. ,Q2.  The onboarding / sign-up process was straightforward and quick. ,"Q3.  Overall, my experience with Cowrywise has positively influenced my savings behaviour. "
3/23/2026 20:58:10,25 – 34,Prefer not to say,Unemployed,Highly irregular – unpredictable income,Agree,Agree,Strongly Agree,Neutral,Agree,Basic – I understand savings but not investments,"No, I still do not fully understand",Limited knowledge delayed my adoption,Nil,Instagram / Twitter (X) / TikTok advertisement,No — it had no influence on my decision,Neutral,Neutral,Neutral,Neutral,Neutral
3/23/2026 21:00:50,18 – 24,"Below ₦100,000",Student,Highly irregular – unpredictable income,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Basic – I understand savings but not investments,"No, I still do not fully understand",I joined despite limited knowledge — I was curious to learn,Because is trusted and reliable ,Recommendation from a friend or family member,Yes — it was a major factor,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
3/23/2026 21:03:39,18 – 24,"Below ₦100,000",Student,Very stable – same amount every month,Strongly Agree,Agree,Agree,Agree,Neutral,Good – I am comfortable with most financial concepts,Partially – I had some understanding,I joined despite limited knowledge — I was curious to learn,"I believe the effectiveness, availability and reliability of the platform will increase my confidence in using Cowrywise",Recommendation from a friend or family member,Yes — it was a major factor,Agree,Agree,Strongly Agree,Agree,Agree
3/23/2026 21:06:41,18 – 24,"Below ₦100,000",Student,Very stable – same amount every month,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,"Moderate – I understand savings, interest, and some investments","Yes, fully",I felt confident enough to join because of my financial knowledge,Investment choices ,Instagram / Twitter (X) / TikTok advertisement,Yes — it was a major factor,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
3/23/2026 21:21:14,18 – 24,"Below ₦100,000",Self-employed / Entrepreneur,Mostly stable – occasional variation,Neutral,Agree,Agree,Agree,Agree,"Moderate – I understand savings, interest, and some investments",Partially – I had some understanding,I joined despite limited knowledge — I was curious to learn,It has improve my ability to save money,Recommendation from a friend or family member,Yes — it was a major factor,Agree,Agree,Agree,Agree,Agree
3/23/2026 21:32:46,25 – 34,"Below ₦100,000",Student,Highly irregular – unpredictable income,Neutral,Neutral,Neutral,Neutral,Agree,Basic – I understand savings but not investments,Partially – I had some understanding,Limited knowledge delayed my adoption,More awareness of the platform ,Google / App Store search,Yes — it was a minor factor,Agree,Neutral,Neutral,Neutral,Neutral
3/23/2026 22:07:21,18 – 24,"Below ₦100,000",Student,Moderately irregular – varies month to month,Neutral,Agree,Strongly Agree,Agree,Agree,Excellent – I am highly knowledgeable about financial products,Partially – I had some understanding,I felt confident enough to join because of my financial knowledge,Because it is very safe,Recommendation from a friend or family member,I am not sure,Agree,Agree,Agree,Neutral,Agree
3/23/2026 22:08:53,25 – 34,"Below ₦100,000",Employed (Part-time),Moderately irregular – varies month to month,Neutral,Agree,Agree,Agree,Agree,Excellent – I am highly knowledgeable about financial products,"Yes, fully",I felt confident enough to join because of my financial knowledge,It's legal and trustworthy.,Recommendation from a friend or family member,Yes — it was a major factor,Neutral,Agree,Agree,Agree,Agree
3/23/2026 22:51:52,25 – 34,"₦100,000 – ₦250,000",Employed (Full-time),Mostly stable – occasional variation,Agree,Neutral,Agree,Strongly Agree,Neutral,"Moderate – I understand savings, interest, and some investments",Partially – I had some understanding,Limited knowledge has prevented me from using certain features on the platform,I would say one of the things that will improve my confidence in using digital savings platforms like Cowrywise is better security which simply mean that I will not have to worry about the app been hacked.,Financial influencer or content creator,Yes — it was a minor factor,Neutral,Neutral,Neutral,Agree,Neutral
3/24/2026 0:14:56,18 – 24,"Below ₦100,000",Employed (Full-time),Very stable – same amount every month,Agree,Agree,Agree,Neutral,Neutral,Good – I am comfortable with most financial concepts,Partially – I had some understanding,I felt confident enough to join because of my financial knowledge,If they had physical onsite locations ,Instagram / Twitter (X) / TikTok advertisement,No — it had no influence on my decision,Neutral,Neutral,Neutral,Neutral,Neutral
3/24/2026 0:23:38,25 – 34,"₦250,001 – ₦500,000",Employed (Full-time),Mostly stable – occasional variation,Agree,Agree,Agree,Strongly Agree,Disagree,Good – I am comfortable with most financial concepts,"Yes, fully",I felt confident enough to join because of my financial knowledge,Knowledge on different investment products,Instagram / Twitter (X) / TikTok advertisement,Yes — it was a minor factor,Agree,Agree,Neutral,Neutral,Neutral
3/24/2026 22:19:36,18 – 24,"Below ₦100,000",Student,Highly irregular – unpredictable income,Disagree,Neutral,Agree,Neutral,Agree,"Moderate – I understand savings, interest, and some investments",Partially – I had some understanding,Limited knowledge delayed my adoption,The Good results it's yield,Instagram / Twitter (X) / TikTok advertisement,No — it had no influence on my decision,Neutral,Agree,Agree,Disagree,Neutral
3/25/2026 10:49:41,25 – 34,"₦250,001 – ₦500,000",Employed (Full-time),Very stable – same amount every month,Strongly Agree,Agree,Agree,Agree,Neutral,Basic – I understand savings but not investments,Partially – I had some understanding,Limited knowledge has prevented me from using certain features on the platform,Knowledge if it's features and how I can benefit from it,Workplace or community group,Yes — it was a minor factor,Neutral,Agree,Agree,Agree,Agree
3/25/2026 11:22:31,18 – 24,"Below ₦100,000",Student,Moderately irregular – varies month to month,Agree,Agree,Agree,Neutral,Agree,Very poor – I know very little about financial products,Partially – I had some understanding,I joined despite limited knowledge — I was curious to learn,Good services ,Other (please specify): ____________________________,Yes — it was a minor factor,Agree,Neutral,Neutral,Agree,Neutral
3/25/2026 17:34:11,45 – 55,"Above ₦1,000,000",Employed (Full-time),Very stable – same amount every month,Neutral,Neutral,Agree,Neutral,Agree,"Moderate – I understand savings, interest, and some investments","No, I still do not fully understand",Limited knowledge has prevented me from using certain features on the platform,Constant profit,Recommendation from a friend or family member,No — it had no influence on my decision,Neutral,Neutral,Neutral,Neutral,Neutral
3/25/2026 17:51:07,18 – 24,"Below ₦100,000",Employed (Full-time),Highly irregular – unpredictable income,Strongly Agree,Agree,Agree,Strongly Agree,Agree,"Moderate – I understand savings, interest, and some investments",Partially – I had some understanding,I felt confident enough to join because of my financial knowledge,The Interest attached with saving on the app,Instagram / Twitter (X) / TikTok advertisement,No — it had no influence on my decision,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree
3/25/2026 21:50:35,25 – 34,"Below ₦100,000",Employed (Full-time),Highly irregular – unpredictable income,Agree,Agree,Agree,Agree,Agree,"Moderate – I understand savings, interest, and some investments",Partially – I had some understanding,I joined despite limited knowledge — I was curious to learn,Trust,Google / App Store search,I am not sure,Agree,Neutral,Agree,Agree,Neutral
3/31/2026 13:05:01,25 – 34,"₦250,001 – ₦500,000",Employed (Full-time),Very stable – same amount every month,Agree,Agree,Agree,Agree,Neutral,Basic – I understand savings but not investments,Partially – I had some understanding,I joined despite limited knowledge — I was curious to learn,I’m not sure.,Instagram / Twitter (X) / TikTok advertisement,Yes — it was a minor factor,Neutral,Agree,Agree,Agree,Neutral
3/31/2026 17:50:25,18 – 24,"₦250,001 – ₦500,000",Employed (Full-time),Very stable – same amount every month,Agree,Agree,Agree,Neutral,Agree,"Moderate – I understand savings, interest, and some investments",Partially – I had some understanding,I joined despite limited knowledge — I was curious to learn,More security ,Recommendation from a friend or family member,Yes — it was a major factor,Neutral,Agree,Agree,Agree,Agree
3/31/2026 17:51:00,25 – 34,"₦250,001 – ₦500,000",Employed (Full-time),Very stable – same amount every month,Agree,Agree,Agree,Agree,Agree,Good – I am comfortable with most financial concepts,"No, but I learned after joining",I joined despite limited knowledge — I was curious to learn,Structure ,Recommendation from a friend or family member,Yes — it was a minor factor,Agree,Agree,Agree,Agree,Agree
3/31/2026 18:05:50,25 – 34,"₦100,000 – ₦250,000",Employed (Full-time),Very stable – same amount every month,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Moderate – I understand savings, interest, and some investments",Partially – I had some understanding,I joined despite limited knowledge — I was curious to learn,I’m currently confident ,Recommendation from a friend or family member,Yes — it was a major factor,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
4/1/2026 21:34:21,18 – 24,"₦500,001 – ₦1,000,000",Employed (Full-time),Very stable – same amount every month,Agree,Neutral,Agree,Agree,Neutral,Basic – I understand savings but not investments,"Yes, fully",I joined despite limited knowledge — I was curious to learn,Flexibility in withdrawals,Instagram / Twitter (X) / TikTok advertisement,Yes — it was a minor factor,Disagree,Agree,Neutral,Neutral,Neutral
4/1/2026 21:37:37,25 – 34,"Above ₦1,000,000",Employed (Full-time),Mostly stable – occasional variation,Agree,Neutral,Agree,Agree,Agree,Excellent – I am highly knowledgeable about financial products,"Yes, fully",I felt confident enough to join because of my financial knowledge,…,Instagram / Twitter (X) / TikTok advertisement,No — it had no influence on my decision,Agree,Neutral,Agree,Neutral,Neutral
4/1/2026 21:39:06,25 – 34,"₦100,000 – ₦250,000",Employed (Part-time),Very stable – same amount every month,Agree,Neutral,Agree,Strongly Agree,Disagree,"Moderate – I understand savings, interest, and some investments",Partially – I had some understanding,I joined despite limited knowledge — I was curious to learn,"I’d feel more confident if the platform is consistently reliable, like smooth withdrawals, no glitches, knowing my money is safe",Recommendation from a friend or family member,Yes — it was a major factor,Neutral,Agree,Agree,Agree,Strongly Agree
4/1/2026 21:57:36,18 – 24,"₦500,001 – ₦1,000,000",Employed (Full-time),Mostly stable – occasional variation,Agree,Agree,Agree,Agree,Neutral,"Moderate – I understand savings, interest, and some investments","Yes, fully",I joined despite limited knowledge — I was curious to learn,rewards ,Instagram / Twitter (X) / TikTok advertisement,Yes — it was a major factor,Agree,Agree,Neutral,Agree,Agree
4/1/2026 22:02:12,18 – 24,"₦500,001 – ₦1,000,000",Self-employed / Entrepreneur,Mostly stable – occasional variation,Agree,Agree,Agree,Strongly Agree,Neutral,Good – I am comfortable with most financial concepts,"Yes, fully",I joined despite limited knowledge — I was curious to learn,Nothing ,Recommendation from a friend or family member,Yes — it was a major factor,Disagree,Agree,Agree,Agree,Neutral
4/1/2026 22:14:33,25 – 34,"₦500,001 – ₦1,000,000",Employed (Full-time),Very stable – same amount every month,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Disagree,Excellent – I am highly knowledgeable about financial products,Partially – I had some understanding,I felt confident enough to join because of my financial knowledge,"Being able to withdraw funds easily when needed. Also, responsive customer support makes a big difference.",Recommendation from a friend or family member,Yes — it was a major factor,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree
4/1/2026 22:29:31,25 – 34,"₦500,001 – ₦1,000,000",Employed (Full-time),Very stable – same amount every month,Agree,Agree,Agree,Neutral,Disagree,"Moderate – I understand savings, interest, and some investments","No, but I learned after joining",I joined despite limited knowledge — I was curious to learn,I’m satisfied and confident in the platform as is ,Instagram / Twitter (X) / TikTok advertisement,No — it had no influence on my decision,Neutral,Neutral,Agree,Agree,Agree
4/1/2026 22:39:47,25 – 34,"₦500,001 – ₦1,000,000",Employed (Full-time),Very stable – same amount every month,Neutral,Agree,Agree,Agree,Disagree,"Moderate – I understand savings, interest, and some investments",Partially – I had some understanding,Limited knowledge delayed my adoption,Real life user experience/testimonials ,Instagram / Twitter (X) / TikTok advertisement,Yes — it was a major factor,Neutral,Agree,Neutral,Agree,Neutral
4/1/2026 22:40:16,18 – 24,"Below ₦100,000",Unemployed,Very stable – same amount every month,Neutral,Neutral,Neutral,Neutral,Neutral,"Moderate – I understand savings, interest, and some investments",Partially – I had some understanding,I joined despite limited knowledge — I was curious to learn,Nothing ,Financial influencer or content creator,I am not sure,Neutral,Agree,Agree,Agree,Agree
4/1/2026 22:51:52,25 – 34,"₦100,000 – ₦250,000",Self-employed / Entrepreneur,Highly irregular – unpredictable income,Neutral,Neutral,Agree,Disagree,Strongly Agree,"Moderate – I understand savings, interest, and some investments",Partially – I had some understanding,Limited knowledge has prevented me from using certain features on the platform,Nothing unfortunately.,Financial influencer or content creator,Yes — it was a minor factor,Neutral,Neutral,Neutral,Disagree,Neutral
4/1/2026 23:08:25,25 – 34,"₦500,001 – ₦1,000,000",Student,Very stable – same amount every month,Agree,Agree,Strongly Agree,Neutral,Disagree,"Moderate – I understand savings, interest, and some investments","No, I still do not fully understand",I joined despite limited knowledge — I was curious to learn,Having a staff play the role of a financial adviser ,Recommendation from a friend or family member,Yes — it was a major factor,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Neutral
4/2/2026 0:12:23,25 – 34,"Above ₦1,000,000",Employed (Full-time),Very stable – same amount every month,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Excellent – I am highly knowledgeable about financial products,"Yes, fully",I felt confident enough to join because of my financial knowledge,More accountability on investments carried out with people’s savings,Instagram / Twitter (X) / TikTok advertisement,Yes — it was a minor factor,Neutral,Neutral,Neutral,Neutral,Neutral
4/2/2026 0:33:31,25 – 34,"₦250,001 – ₦500,000",Employed (Full-time),Very stable – same amount every month,Neutral,Neutral,Agree,Agree,Disagree,"Moderate – I understand savings, interest, and some investments","Yes, fully",Limited knowledge has prevented me from using certain features on the platform,Nothing really I prefer PiggyVest ,Workplace or community group,I am not sure,Neutral,Agree,Neutral,Neutral,Neutral
4/2/2026 6:36:22,25 – 34,"₦100,000 – ₦250,000",Employed (Full-time),Mostly stable – occasional variation,Strongly Agree,Agree,Neutral,Agree,Disagree,"Moderate – I understand savings, interest, and some investments",Partially – I had some understanding,I joined despite limited knowledge — I was curious to learn,A general improvement on User experience ,Instagram / Twitter (X) / TikTok advertisement,No — it had no influence on my decision,Neutral,Agree,Agree,Agree,Agree
4/2/2026 7:56:23,25 – 34,Prefer not to say,Self-employed / Entrepreneur,Moderately irregular – varies month to month,Neutral,Neutral,Neutral,Strongly Agree,Neutral,"Moderate – I understand savings, interest, and some investments",Partially – I had some understanding,I joined despite limited knowledge — I was curious to learn,"Easy explanations in term of investing, investment coaching options ",Recommendation from a friend or family member,Yes — it was a minor factor,Disagree,Neutral,Agree,Agree,Neutral
4/2/2026 10:03:18,25 – 34,"₦500,001 – ₦1,000,000",Employed (Full-time),Mostly stable – occasional variation,Strongly Agree,Agree,Agree,Strongly Agree,Disagree,Basic – I understand savings but not investments,"No, but I learned after joining",I joined despite limited knowledge — I was curious to learn,Better breakdown for how the economy affects saving culture ,Recommendation from a friend or family member,Yes — it was a minor factor,Neutral,Agree,Agree,Strongly Agree,Agree
4/2/2026 13:37:18,25 – 34,"₦500,001 – ₦1,000,000",Employed (Full-time),Very stable – same amount every month,Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Good – I am comfortable with most financial concepts,"Yes, fully",I joined despite limited knowledge — I was curious to learn,Nil,Recommendation from a friend or family member,Yes — it was a major factor,Agree,Agree,Agree,Agree,Agree
4/2/2026 18:47:19,25 – 34,"Above ₦1,000,000",Employed (Full-time),Mostly stable – occasional variation,Strongly Agree,Agree,Neutral,Strongly Agree,Disagree,Good – I am comfortable with most financial concepts,"Yes, fully",I felt confident enough to join because of my financial knowledge,Responsive help and solid protection of funds/data,Recommendation from a friend or family member,Yes — it was a minor factor,Strongly Disagree,Neutral,Neutral,Agree,Neutral
4/2/2026 20:40:32,25 – 34,"Above ₦1,000,000",Self-employed / Entrepreneur,Mostly stable – occasional variation,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Good – I am comfortable with most financial concepts,Partially – I had some understanding,I joined despite limited knowledge — I was curious to learn,Sincerely nothing coming to mind at the moment ,Instagram / Twitter (X) / TikTok advertisement,Yes — it was a major factor,Neutral,Agree,Strongly Agree,Agree,Neutral
4/3/2026 11:58:09,18 – 24,"₦100,000 – ₦250,000",Student,Mostly stable – occasional variation,Agree,Agree,Agree,Strongly Agree,Agree,Excellent – I am highly knowledgeable about financial products,"Yes, fully",I felt confident enough to join because of my financial knowledge,The strong security and transparency ,Recommendation from a friend or family member,No — it had no influence on my decision,Agree,Agree,Agree,Agree,Agree
4/7/2026 13:39:42,25 – 34,"₦250,001 – ₦500,000",Employed (Full-time),Very stable – same amount every month,Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Good – I am comfortable with most financial concepts,"Yes, fully",I joined despite limited knowledge — I was curious to learn,They're highly regulated ,Recommendation from a friend or family member,Yes — it was a minor factor,Agree,Neutral,Strongly Agree,Agree,Neutral
4/7/2026 13:59:34,18 – 24,"₦100,000 – ₦250,000",Self-employed / Entrepreneur,Mostly stable – occasional variation,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,"Moderate – I understand savings, interest, and some investments","Yes, fully",I joined despite limited knowledge — I was curious to learn,Quicker withdrawal process,Recommendation from a friend or family member,Yes — it was a minor factor,Neutral,Agree,Agree,Agree,Agree
4/7/2026 14:41:50,25 – 34,"₦250,001 – ₦500,000",Employed (Full-time),Very stable – same amount every month,Agree,Agree,Agree,Agree,Neutral,Good – I am comfortable with most financial concepts,Partially – I had some understanding,I felt confident enough to join because of my financial knowledge,Clear explanation of how funds are invested.,Google / App Store search,No — it had no influence on my decision,Disagree,Agree,Strongly Agree,Strongly Agree,Agree
4/7/2026 14:42:55,35 – 44,"₦500,001 – ₦1,000,000",Employed (Full-time),Very stable – same amount every month,Agree,Agree,Agree,Agree,Neutral,Good – I am comfortable with most financial concepts,"Yes, fully",I joined despite limited knowledge — I was curious to learn,Giving us updates on their business and security of my money ,Google / App Store search,No — it had no influence on my decision,Agree,Agree,Agree,Agree,Agree
4/7/2026 16:34:33,25 – 34,"Above ₦1,000,000",Self-employed / Entrepreneur,Very stable – same amount every month,Agree,Agree,Agree,Strongly Agree,Neutral,"Moderate – I understand savings, interest, and some investments","Yes, fully",I felt confident enough to join because of my financial knowledge,More transparency on how the platform works and where funds are held.,Financial influencer or content creator,Yes — it was a minor factor,Agree,Strongly Agree,Agree,Agree,Agree
4/7/2026 16:35:56,25 – 34,"₦500,001 – ₦1,000,000",Employed (Full-time),Very stable – same amount every month,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Basic – I understand savings but not investments,Partially – I had some understanding,I joined despite limited knowledge — I was curious to learn,More visible partnerships with reputable banks and financial institutions.,Workplace or community group,Yes — it was a minor factor,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
4/8/2026 10:51:22,35 – 44,"₦100,000 – ₦250,000",Self-employed / Entrepreneur,Moderately irregular – varies month to month,Neutral,Neutral,Agree,Agree,Agree,Basic – I understand savings but not investments,Partially – I had some understanding,Limited knowledge has prevented me from using certain features on the platform,Having a well-detailed about it,Instagram / Twitter (X) / TikTok advertisement,Yes — it was a minor factor,Neutral,Neutral,Neutral,Neutral,Neutral
4/13/2026 19:07:08,25 – 34,"Above ₦1,000,000",Employed (Full-time),Very stable – same amount every month,Disagree,Strongly Disagree,Neutral,Agree,Strongly Agree,Good – I am comfortable with most financial concepts,Partially – I had some understanding,I joined despite limited knowledge — I was curious to learn,Safety of funds,Recommendation from a friend or family member,Yes — it was a minor factor,Disagree,Agree,Agree,Agree,Agree